学号,姓名,性别,学历,毕业学校
2019000029407,b795f851594f0b15699d88080976a3cf,女,,西南财经大学
2019000029591,65367aefd6ee9d8542ece3f23cf46b69,男,,东北大学
2019000029675,8835edab4a28a703a05d9d22ba84a93b,男,,美国阿克伦大学（University of Akron）
2020000029179,327c402a08190fac5458c61b9b5b40f7,女,本科,大连外国语大学
2020000029739,a9b83580381c49979d1a55d6e2340a6f,男,本科,上海应用技术大学
2022000029181,441f98d728be23bb2d450e8220b2777a,男,本科,河南理工大学
2022000029192,8b136da5654e312a5871ada4f8188350,女,本科,西华师范大学
2022000029196,06de6008057626cdbca13eedc36a7b58,女,本科,西南财经大学天府学院
2022000029212,c1e5859a8a54a27629b6054826671637,女,本科,四川师范大学
2022000029213,10e3059b6aa258cf47cd57a74215e03d,男,本科,西南林业大学
2022000029229,0ad415a3bffb49bd3c3ef51a6325718d,女,本科,黑龙江中医药大学
2022000029249,cd3f0763d42587853c5fd728f257a181,男,本科,成都信息工程大学
2022000029258,ede9110496e10f440e862fa3991a1a4c,女,本科,重庆工商大学
2022000029289,0c1f2324bd4b304ba9745d956b38c480,女,本科,四川大学
2022000029295,b57549626e07ac502a61b1983c8b8eec,女,本科,四川农业大学
2022000029298,5ca69df3379af7b6b30deb68cd61fbbf,女,本科,四川农业大学
2022000029300,ef43dcf1e78c6b421859e378da482268,女,本科,四川大学
2022000029313,636448a414e693cbcf9bf6e750366726,女,,四川大学
2022000029314,e56399413dd63da74ad76ff1196ee7bc,男,本科,四川大学
2022000029326,610e67f203fa862906dcd43bf08dbc2a,男,本科,西南财经大学
2022000029354,f03dbdde0073461763faec1e43935462,女,本科,成都理工大学
2022000029359,3b058da65032812db8374e59cda9252c,男,本科,长安大学
2022000029367,71f0a2289542beca977dd30dd1a9d670,女,本科,成都信息工程大学
2022000029375,d6c446a9eb045c1001e17fa4d5bbd4be,女,硕士研究生,云南大学
2022000029386,ac0dfe2beee31aac0cbcb89bf4a869fc,男,本科,北京航空航天大学
2022000029387,88be06eae40c768b3959981f0c4dd0b9,女,本科,云南大学
2022000029399,49c531db9a238c41eb438ff9999e83c3,男,本科,四川轻化工大学
2022000029419,6630c6e86f1b40d990bf8a7aec2a8c92,男,本科,成都理工大学
2022000029421,e7d2654eec4526ad4eee36cb57538d10,男,本科,四川外国语大学成都学院
2022000029430,af1ed47d216576210e74abe3323a402e,女,本科,大连医科大学中山学院
2022000029449,54f0659a39272656e5f393b7307474a2,男,本科,上海财经大学
2022000029481,32e2a39e915e0e66464608dd4b9d1818,男,本科,扬州大学
2022000029493,871443f4ecb000dfa588489eb30270d7,女,本科,西华大学
2022000029494,e80490b4373cd80425367f7bb22cb9c6,男,本科,山东科技大学
2022000029549,54b1cc135f975e9271eaa48cc2a515f3,女,本科,成都信息工程学院银杏酒店管理学院
2022000029550,e8b030f83cb6d2cdddb239fd1cde157f,男,本科,西南石油大学
2022000029559,8f85ce2a91fda079c160d0dc363bf372,女,本科,四川农业大学
2022000029563,c8a02605c79a7d3e646c68e9c9c8a5e5,女,本科,四川大学
2022000029565,e2cee63b0e4676c8eba9ad56d1149ee5,女,本科,四川农业大学
2022000029583,b53719df260b8f58eea6f5f8aca75a24,女,本科,四川警察学院
2022000029594,9ecf2556015c73226f8fccc172c3529f,男,本科,四川理工学院
2022000029602,ea310eb0440d716097f00d467f572b85,男,本科,四川大学锦城学院
2022000029618,0a15e95da9b366123f108993e08549cf,女,本科,四川大学
2022000029637,2f2d475ae63ef5753f5188ed77fce5d8,男,本科,北京交通大学
2022000029641,665e0d368aba9181782c832e6184060e,女,本科,四川外语学院成都学院
2022000029647,3e98e499cd16db27bae187dce958305e,女,本科,成都大学
2022000029654,4a00f7f25ea14b5e97d28bd6e415705f,男,本科,西南交通大学
2022000029663,ae33e1182159b951c707e4984abb7a7f,女,本科,海南大学
2022000029667,6e2445bd5a2795d59a607c7dee4b3833,男,本科,西华师范大学
2022000029677,ea0cf722e6174f8b4dc535964056c7e4,女,本科,深圳大学
2022000029681,677731c64279213f74dd1c35a71b2386,男,本科,西北农林科技大学
2022000029685,f07eb3a583a36fdd02d94be128d07aa8,女,本科,乐山师范学院
2022000029694,8faeb8ea5882fb2e838e556b0c23206e,女,本科,成都理工大学
2022000029703,562c65b03a03b4cd5cf75d6a43944412,男,本科,成都理工大学
