学号,姓名,性别,学历,毕业学校
2019000029694,bb0aafcacf54a7e8ae8f8820c1646b5d,男,,北京理工大学
2020000029368,88e105cc381e98e8535ec3bbbb7d095a,女,本科,大连医科大学
2020000029385,63a33bd5c4e9bd6ef372dd27fff90bb3,女,本科,四川大学
2021000029174,72420fc2e104d6836d5ba82058b7ae82,男,本科,西南石油大学
2022000029177,7f16260dd1f2e96ea97d023c5f9784bb,女,本科,中国民航大学
2022000029180,7b1129cee5c3a490acb0cf5520615bc4,男,本科,哈尔滨工业大学
2022000029185,a48aac92a981074d4ccb1c530925bb73,男,本科,西南石油大学
2022000029195,ee258c998dfcf8dada81e78c0afba9af,男,本科,成都信息工程大学
2022000029224,95caada759f41a5958c088d74501ea09,女,本科,四川农业大学
2022000029225,f7cf657e6e6f593cc300c1128f451b02,女,本科,西南石油大学
2022000029239,e68645e513f980e407339eb0cbe42da9,男,本科,成都理工大学
2022000029241,4a4a2883b1e0cc0bdd90213ed1c26819,女,本科,西南财经大学
2022000029271,c3b0b72564e2b6432c14af4a6fc28487,女,本科,山东财经大学
2022000029291,373dfa0b9228dde4caa0877820dd5266,女,本科,乐山师范学院
2022000029292,a7bc56dc9e291cbe61c33c316502d810,女,本科,西华大学 旅游/酒店 健康/医疗服务
2022000029319,3cc7fe62e6d3b73b4a89f12cb462d0d2,女,本科,四川师范大学
2022000029322,e44c30fe0807366933f56bf70d5d6aac,男,本科,中南大学
2022000029328,d26e27d82a8113dd469109a354db995b,男,本科,西南大学
2022000029337,4562c50a05575713348dd010c546fad5,女,本科,贵州大学
2022000029339,9c88568aaaea722eddcd6cdf08d7012c,男,本科,四川理工学院
2022000029348,31a26fa19b7f314107e01bba9e9468ae,女,本科,温州大学
2022000029355,355ad6cd6c53bd24f83213e4f1e99b2d,男,本科,中国海洋大学
2022000029363,bd607c85b68871dc0d945d2d711f7cb5,女,本科,安徽新华学院
2022000029376,fc27dc31668bfe5c179783ab7f811faa,男,本科,西南财经大学天府学院
2022000029395,1fd755411a81a96afb947425665fb4ba,女,本科,成都理工大学
2022000029440,75ab7898974d90ab96b1d306b95e1fd8,女,本科,四川外国语大学成都学院
2022000029484,6d66b0c7b2808c62795cdc60e0a5c5ec,女,本科,三亚学院
2022000029485,adfcc30c2973b69f7de23bcb46a1b853,女,本科,中国药科大学
2022000029486,3fa780cfc0f7ccb404ab6f5cd938b46a,男,本科,电子科技大学
2022000029499,cc90a29d47223ca3078782591e4a4394,男,本科,南华大学
2022000029506,487184533bbfa5ffff171704eb88d550,男,本科,西南石油大学
2022000029507,0daf997fed1433c71602d2734e966977,女,本科,四川大学
2022000029516,a3f1ebd19749bf23dc1e67afd4e7681d,女,本科,南昌大学
2022000029522,a49f4a415e9e75812608fd6e57c85a86,女,本科,西华大学
2022000029523,2b8802b58ff0eb28a41c4a873aa5cc4f,女,本科,四川师范大学成都学院
2022000029524,ae39e3f1fea0deadc21a9717c1b762ad,女,本科,华中师范大学
2022000029562,1aec744a9a0caa0510f57d7ce783994d,女,本科,西南交通大学
2022000029567,c5800978595ec476c75d24baf930d347,男,本科,四川大学
2022000029570,3d5f3569e2ae59f213ebd32d4e19b02c,女,本科,Staffordshire University 英国斯塔福德郡大学
2022000029590,d2aaf2381649fd46842cb9c9e6c0c5ea,男,本科,成都理工大学
2022000029593,2eb12b2773c440ef47947debfcd43151,男,本科,四川大学锦城学院
2022000029622,16e8781853b1346012080e971210ca16,女,本科,长江大学
2022000029635,b4214eed1010bd9a6b1e77300f24b8a4,女,本科,西南交通大学希望学院
2022000029661,8fe1bbdafb108166d8e118ead1c5f9ce,女,专科,成都中医药大学
2022000029669,4a58a74260a43b6398c043d990b41d84,男,本科,西南石油大学
2022000029672,5da750812a3a5373aae19a451c628687,女,本科,四川农业大学
2022000029675,190186840566e19a5f85c208cb2a185d,男,本科,长安大学
2022000029679,0094b474c00f534c130483b41d12f663,女,本科,中国民航大学
2022000029691,7d58aff11dceb28c2708a8975010fd07,女,本科,内蒙古科技大学
2022000029693,7fd3cfa88f658359cd8d03c43492a04e,男,专科,青岛远洋船员职业学院
2022000029707,6557578fd71571d730bf72fe1b401e7c,女,本科,四川传媒学院
